B365H,B365A,B365D
1.44,7.0,4.5
2.5,2.75,3.4
1.22,12.0,6.5
2.0,3.8,3.4
1.91,4.2,3.4
2.3,3.1,3.4
2.4,2.88,3.4
6.0,1.53,4.2
1.44,7.0,4.5
2.88,2.5,3.3
1.4,8.5,4.5
1.5,7.0,4.0
1.95,4.0,3.5
7.5,1.4,4.75
2.1,3.75,3.25
4.0,1.91,3.5
2.1,3.6,3.3
2.0,3.75,3.4
1.5,6.5,4.33
2.4,3.1,3.2
1.91,4.0,3.6
4.75,1.8,3.5
1.8,4.5,3.6
2.3,3.1,3.4
2.0,3.75,3.5
2.2,3.2,3.5
3.0,2.38,3.3
1.91,4.0,3.6
2.0,3.75,3.5
1.36,9.0,4.75
1.2,15.0,6.5
5.5,1.67,3.75
2.2,3.25,3.4
2.4,2.88,3.4
3.1,2.4,3.2
1.62,5.5,4.0
2.0,3.75,3.5
5.5,1.62,4.0
1.53,6.5,4.0
1.14,19.0,8.0
2.1,3.5,3.4
2.0,3.75,3.5
1.62,6.0,3.75
1.91,4.0,3.6
2.88,2.5,3.25
4.75,1.73,3.75
1.33,8.5,5.5
5.0,1.67,4.0
3.75,2.0,3.5
1.44,7.0,4.5
1.85,4.2,3.6
1.22,13.0,6.5
6.0,1.62,3.75
2.2,3.25,3.4
2.9,2.38,3.4
3.4,2.25,3.2
6.5,1.53,4.0
1.44,7.0,4.5
2.4,3.0,3.25
2.1,3.5,3.4
1.3,10.0,5.5
6.0,1.57,4.0
2.88,2.5,3.25
1.8,4.75,3.5
3.5,2.1,3.4
2.88,2.5,3.3
4.0,1.91,3.5
1.29,11.0,5.5
5.0,1.7,3.75
1.57,6.0,4.0
1.33,10.0,5.0
2.0,3.75,3.5
2.1,3.5,3.4
6.0,1.53,4.2
1.2,15.0,6.5
1.4,8.5,4.5
3.0,2.38,3.4
2.55,2.9,3.5
1.57,6.5,4.2
2.05,4.0,3.5
2.2,3.4,3.6
4.5,1.85,3.8
3.0,2.5,3.4
4.33,1.95,3.5
2.38,3.3,3.3
2.63,2.8,3.5
1.91,4.2,3.8
1.25,15.0,6.5
1.33,10.5,5.5
1.25,14.0,6.5
1.75,5.0,4.0
2.2,3.6,3.4
1.75,5.0,4.0
2.1,3.75,3.5
2.15,3.8,3.4
1.91,4.0,3.6
2.9,2.5,3.6
3.6,2.05,3.5
1.44,8.0,4.75
2.9,2.6,3.4
7.5,1.5,4.5
2.2,3.75,3.3
2.5,3.0,3.4
2.4,3.1,3.5
1.6,6.5,4.1
2.2,3.5,3.5
1.25,14.0,6.5
4.75,1.83,3.75
7.5,1.5,4.5
1.44,9.0,4.5
1.4,9.0,5.0
5.5,1.65,4.2
4.0,2.0,3.6
1.95,4.33,3.6
2.5,3.0,3.4
2.4,3.2,3.4
2.2,3.5,3.5
1.83,4.5,3.9
3.6,2.2,3.4
1.36,9.5,5.5
2.3,3.4,3.4
5.75,1.67,4.0
1.91,4.6,3.5
4.5,1.91,3.6
1.83,4.75,3.75
1.67,5.75,4.0
2.63,2.88,3.4
1.75,5.0,3.9
1.4,9.0,5.0
1.57,6.0,4.4
1.33,11.0,5.5
2.2,3.75,3.3
3.8,2.1,3.5
7.0,1.53,4.33
2.63,2.88,3.4
2.05,4.0,3.5
1.95,4.33,3.6
2.2,3.2,3.5
3.6,2.15,3.5
1.4,9.0,5.0
1.38,10.0,5.0
1.33,11.0,5.5
1.85,4.5,3.8
2.15,4.0,3.25
2.4,3.3,3.3
2.1,3.75,3.6
4.5,1.85,3.75
2.3,3.25,3.6
7.5,1.44,4.5
2.5,3.0,3.4
2.25,3.5,3.4
2.45,3.1,3.4
2.45,3.2,3.3
1.95,4.0,3.8
1.83,4.8,3.7
2.3,3.4,3.4
3.9,2.05,3.6
1.17,19.0,9.0
4.2,1.91,3.8
2.5,3.1,3.3
3.4,2.25,3.5
1.4,9.0,5.0
2.05,4.0,3.5
1.5,7.5,4.5
2.3,3.4,3.4
1.25,15.0,6.5
1.57,7.5,3.9
1.33,11.0,5.5
3.5,2.2,3.5
6.0,1.65,4.0
3.4,2.3,3.4
2.3,3.4,3.4
1.95,4.33,3.6
5.0,1.75,4.0
2.0,4.0,3.6
2.63,2.9,3.3
3.3,2.25,3.6
2.1,4.0,3.4
4.1,1.95,3.7
1.36,11.0,5.0
1.36,9.0,5.5
2.1,3.8,3.5
2.38,3.25,3.4
2.2,3.6,3.4
2.3,3.3,3.5
1.25,14.0,6.5
2.3,3.5,3.3
1.44,8.0,4.75
8.0,1.45,4.75
1.91,4.2,3.75
1.95,4.5,3.5
7.0,1.6,3.9
1.75,5.0,3.9
4.75,1.8,3.8
1.25,14.0,6.5
5.5,1.7,3.9
5.0,1.75,4.0
1.75,5.25,3.8
2.25,3.5,3.4
3.4,2.3,3.4
2.38,3.1,3.5
2.25,3.4,3.5
2.3,3.3,3.5
2.15,3.6,3.6
3.25,2.3,3.6
1.25,13.0,6.75
1.5,7.5,4.5
1.29,12.0,6.0
2.88,2.5,3.6
1.85,4.6,3.75
2.25,3.6,3.3
3.8,2.05,3.6
2.25,3.3,3.6
1.36,9.0,5.5
2.55,2.88,3.5
2.3,3.4,3.4
1.73,5.25,3.9
2.55,3.0,3.3
