Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,Squad_Home,Age_Home,Foreigners_Home,Total Market Value_Home,Average Market Value_Home,Squad_Away,Age_Away,Foreigners_Away,Total Market Value_Away,Average Market Value_Away
E0,2010-09-18,Sunderland,Arsenal,1.0,1.0,D,0.0,1.0,A,P Dowd,16.0,16.0,5.0,7.0,11.0,13.0,11.0,3.0,2.0,2.0,0.0,1.0,5.5,3.7,1.67,2011,39,23.7,20,137330000.0,3520000.0,34,23.4,27,304380000.0,8950000.0
E0,2010-09-18,Tottenham,Wolves,3.0,1.0,H,0.0,1.0,A,M Jones,20.0,5.0,11.0,2.0,7.0,11.0,5.0,4.0,3.0,3.0,0.0,0.0,1.4,4.5,8.5,2011,38,24.7,21,296000000.0,7790000.0,42,23.7,23,76800000.0,1830000.0
E0,2010-09-18,West Brom,Birmingham,3.0,1.0,H,0.0,1.0,A,C Foy,16.0,6.0,10.0,3.0,11.0,8.0,5.0,0.0,1.0,1.0,0.0,0.0,2.25,3.3,3.25,2011,37,24.3,24,85030000.0,2300000.0,34,25.8,18,102900000.0,3030000.0
E0,2010-09-19,Chelsea,Blackpool,4.0,0.0,H,4.0,0.0,H,M Clattenburg,27.0,11.0,15.0,4.0,7.0,4.0,9.0,6.0,1.0,2.0,0.0,0.0,1.1,9.0,26.0,2011,33,24.5,22,446150000.0,13520000.0,45,24.3,23,38100000.0,886000.0
E0,2010-09-19,Man United,Liverpool,3.0,2.0,H,1.0,0.0,H,H Webb,16.0,7.0,7.0,1.0,15.0,10.0,6.0,1.0,4.0,1.0,0.0,0.0,1.7,3.5,5.5,2011,43,24.1,29,384150000.0,8930000.0,42,23.5,25,365500000.0,8700000.0
E0,2010-09-19,Wigan,Man City,0.0,2.0,A,0.0,1.0,A,L Probert,9.0,11.0,3.0,5.0,10.0,14.0,3.0,1.0,1.0,2.0,0.0,0.0,5.0,3.6,1.73,2011,35,24.0,24,72100000.0,2060000.0,45,23.4,27,382530000.0,8500000.0
E0,2010-09-25,Arsenal,West Brom,2.0,3.0,A,0.0,0.0,D,M Oliver,24.0,7.0,12.0,5.0,15.0,14.0,16.0,4.0,4.0,3.0,0.0,0.0,1.22,6.0,15.0,2011,34,23.4,27,304380000.0,8950000.0,37,24.3,24,85030000.0,2300000.0
E0,2010-09-25,Birmingham,Wigan,0.0,0.0,D,0.0,0.0,D,M Clattenburg,10.0,17.0,4.0,10.0,12.0,18.0,3.0,7.0,2.0,3.0,1.0,0.0,1.83,3.5,4.5,2011,34,25.8,18,102900000.0,3030000.0,35,24.0,24,72100000.0,2060000.0
E0,2010-09-25,Blackpool,Blackburn,1.0,2.0,A,0.0,1.0,A,M Dean,11.0,13.0,8.0,8.0,12.0,11.0,8.0,8.0,2.0,1.0,0.0,0.0,3.2,3.25,2.3,2011,45,24.3,23,38100000.0,886000.0,37,25.1,29,95100000.0,2570000.0
E0,2010-09-25,Fulham,Everton,0.0,0.0,D,0.0,0.0,D,H Webb,12.0,15.0,2.0,7.0,15.0,13.0,4.0,5.0,2.0,1.0,0.0,0.0,2.75,3.2,2.63,2011,34,27.5,27,111950000.0,3290000.0,32,23.9,21,178530000.0,5580000.0
