Season,HomeTeam,AwayTeam,Number In,Number Out,Average Age of Departures,Average Age of Arrivals,Total Market Value Departures (millions),Total Market Value Arrivals (millions),Income (millions),Expenditures (millions)
2014,Sunderland AFC,Sunderland AFC,21,31,24.4,24.7,46.45,58.3,7.25,22.62
2014,Southampton FC,Southampton FC,26,24,25.5,24.9,97.15,116.3,123.83,96.04
2014,Stoke City,Stoke City,21,21,24.2,23.7,38.2,50.85,3.8,1.8
2014,Everton FC,Everton FC,19,16,22.3,22.2,45.8,61.75,1.9,40.16
2014,Hull City,Hull City,31,29,23.8,22.9,51.6,84.75,18.7,48.23
2013,Manchester City,Manchester City,19,20,23.9,23.6,67.45,124.85,11.3,116
2013,Manchester United,Manchester United,24,27,21.6,21.2,38.4,90.9,1.8,77.13
2013,Tottenham Hotspur,Tottenham Hotspur,19,30,23.9,23.2,131.85,135.75,135.43,121.88
2013,Liverpool FC,Liverpool FC,22,27,22,21.5,82.43,76.1,32.6,58.1
2013,Chelsea FC,Chelsea FC,39,37,22.1,21.7,178.6,243.98,77.43,130.35
2013,Arsenal FC,Arsenal FC,24,26,23.1,22.6,43.4,80.95,12.15,49.25
2013,Aston Villa,Aston Villa,32,29,24.9,23.3,53.65,51.8,8.1,19.84
2013,Everton FC,Everton FC,19,19,24.3,22.7,81.55,89.75,46.1,31.8
2013,Crystal Palace,Crystal Palace,45,35,23.5,24.3,33.45,59.9,0,33
2013,Newcastle United,Newcastle United,15,18,23.6,20.9,48.15,22.8,25.87,3.8
2013,Hull City,Hull City,33,32,24.7,24.8,21.5,50.9,0.88,31.1
2013,Sunderland AFC,Sunderland AFC,37,34,22.5,22.9,80.65,85.4,22.38,33.91
2013,West Ham United,West Ham United,23,19,24.7,25.6,29.2,62.8,0.53,24
2013,Cardiff City,Cardiff City,33,29,24,23,31.7,64.8,3.74,45.82
2013,West Bromwich Albion,West Bromwich Albion,15,17,26.4,23.5,27.8,37.5,11.4,15.7
2013,Stoke City,Stoke City,21,20,27.5,23.3,40.25,53,0,7
2013,Southampton FC,Southampton FC,19,25,25.5,22.4,37.2,39.95,4.2,39.6
2013,Swansea City,Swansea City,25,17,25.6,22.7,19,43.73,0,26.71
2013,Fulham FC,Fulham FC,35,32,25.7,23.5,75.2,84.6,4.15,29.5
2013,Norwich City,Norwich City,21,21,24.1,24.6,18.35,47.85,4.84,30.05
2012,Manchester City,Manchester City,25,28,23.4,22.3,101.63,80.85,44.3,61.95
2012,Manchester United,Manchester United,24,22,22.2,21,45.75,102.4,10.88,76.45
2012,Tottenham Hotspur,Tottenham Hotspur,33,37,24.7,22.4,132.48,142.83,72.78,73.25
2012,Liverpool FC,Liverpool FC,21,19,24.5,21.2,73.3,91.78,10.45,70.6
2012,Chelsea FC,Chelsea FC,30,30,21.7,20.4,120,142.5,25.45,109.7
2012,Arsenal FC,Arsenal FC,18,20,23.6,22.3,121.35,78,65.85,56
2012,Aston Villa,Aston Villa,18,13,25.7,23.5,38,37.28,3.2,27.83
2012,Reading FC,Reading FC,34,26.7,23,22.6,5.98,29.43,0.9,10.82
2012,Queens Park Rangers,Queens Park Rangers,39,46,26.1,24.5,47.55,110.85,4.52,50.35
2012,Newcastle United,Newcastle United,24,25,22.1,21.1,33,57.4,14.8,31.97
2012,Wigan Athletic,Wigan Athletic,23,25,22.5,22.1,32,31.6,13.25,10.54
2012,Sunderland AFC,Sunderland AFC,28,31,23.4,21.7,56,63.8,14.83,38.3
2012,West Ham United,West Ham United,25,29,25,24.9,41.8,75.2,5.05,23.9
2012,Swansea City,Swansea City,21,23,24.8,24.1,38.7,39.7,32.6,20.47
2012,West Bromwich Albion,West Bromwich Albion,19,23,23.6,22.5,41.35,40.3,3.73,5
2012,Norwich City,Norwich City,28,27,24.5,24.2,26.45,35.2,0.38,11.08
2012,Southampton FC,Southampton FC,31,26,25.8,24,10.8,44.65,0,41.5
2012,Everton FC,Everton FC,12,14,24.3,22.5,48,37.3,18.75,21.65
2012,Stoke City,Stoke City,23,24,27.5,25.6,16.2,35.65,0.64,23.68
2012,Fulham FC,Fulham FC,30,31,24.4,24.1,63.3,66.45,31.42,10
2011,Manchester City,Manchester City,32,39,23.1,22.4,103.88,170.89,33.86,103.8
2011,Manchester United,Manchester United,21,24,23.4,20.5,44.52,53.72,16.49,71.02
2011,Tottenham Hotspur,Tottenham Hotspur,40,38,23.4,23,147.06,96.9,49.31,10.77
2011,Liverpool FC,Liverpool FC,21,19,25.1,22.5,81.4,76.32,26.11,75.84
2011,Chelsea FC,Chelsea FC,25,29,21.7,21,98.61,134.41,36.94,109.95
2011,Arsenal FC,Arsenal FC,37,30,23.4,22.1,155.8,111.95,78.29,65.48
2011,Swansea City,Swansea City,23,20,25.4,24.3,19.98,37.45,0.519,14.65
2011,Everton FC,Everton FC,20,17,24.5,23.5,64.47,57.86,30.55,8.21
2011,Aston Villa,Aston Villa,20,27,26.1,22.6,97.04,50.07,49.87,23.18
2011,Newcastle United,Newcastle United,30,31,22.9,21.4,42.81,66.38,18.29,29.7
2011,Wigan Athletic,Wigan Athletic,25,16,23.4,22,28.04,26.88,12.86,14.11
2011,Queens Park Rangers,Queens Park Rangers,45,41,25.1,25.3,40.81,95.02,3.19,29.9
2011,Bolton Wanderers,Bolton Wanderers,25,22,23.8,22.7,56.94,42.78,18.62,17.78
2011,Sunderland AFC,Sunderland AFC,35,32,23.8,23.2,78.4,61.82,30.01,32.21
2011,West Bromwich Albion,West Bromwich Albion,32,32,23.5,23.2,65.15,57.97,12.68,10.35
2011,Stoke City,Stoke City,26,27,24,25.1,22.63,58.6,2.26,28.27
2011,Blackburn Rovers,Blackburn Rovers,27,28,24.6,21.7,57.14,36.94,45.88,23.43
